name, Buy&hold(train) , Buy&hold(test) , train , test ,gird(train),gird(test)
KPX생명과학,"12,926,193","14,931,349","8,489,157"," 16,562,202 ",,
에스티팜,"7,314,810","21,801,894","11,112,420"," 10,042,854 ",,
휴온스,"12,147,395","11,483,050","11,452,612"," 10,744,700 ",,
한미약품,"7,690,279","13,620,398","10,794,230"," 7,941,488 ",,
한올바이오파마,"17,680,294","8,008,137","14,864,539"," 12,044,451 ",,
지트리비앤티,"14,448,485","4,305,945","9,693,037"," 9,817,390 ",,
녹십자랩셀,"11,708,005","18,232,218","9,609,404"," 8,053,798 ",,
올릭스,"5,338,638","18,453,066","15,260,200"," 11,271,703 ",,
크리스탈지노믹스,"10,251,393","9,531,414","10,326,485"," 4,095,811 ",,
휴젤,"7,420,686","13,010,062","10,471,791"," 10,122,318 ",,
셀리버리,"29,405,528","19,192,113","18,027,175"," 8,587,411 ",,
이수앱지스,"8,750,254","23,347,162","12,623,170"," 14,121,057 ",,
바이넥스,"6,469,750","14,044,892","8,656,688"," 9,499,018 ",,
휴메딕스,"6,546,717","13,089,166","9,941,702"," 9,218,383 ",,
휴온스글로벌,"8,228,921","20,182,131","11,045,548"," 9,649,218 ",,
,,"13,000,791",,"9,696,948",,
