id	ratio	positive	negetive	num
2010.07.23.	66.67	2	1	3
2010.07.24.	100.0	1	0	1
2010.07.25.	100.0	4	0	4
2010.07.26.	30.77	4	9	13
2010.07.27.	50.0	2	2	4
2010.07.28.	0.0	0	1	1
2010.07.29.	83.33	5	1	6
2010.07.30.	50.0	2	2	4
2010.07.31.	0.0	0	1	1
2010.08.01.	100.0	2	0	2
2010.08.02.	50.0	3	3	6
2010.08.03.	50.0	1	1	2
2010.08.04.	40.0	2	3	5
2010.08.05.	0.0	0	3	3
2010.08.06.	50.0	1	1	2
2010.08.08.	100.0	1	0	1
2010.08.09.	50.0	1	1	2
2010.08.10.	0.0	0	1	1
2010.08.11.	0.0	0	0	0
2010.08.12.	100.0	3	0	3
2010.08.13.	100.0	5	0	5
2010.08.15.	50.0	1	1	2
2010.08.16.	33.33	2	4	6
2010.08.17.	50.0	1	1	2
2010.08.18.	33.33	1	2	3
2010.08.19.	100.0	4	0	4
2010.08.20.	66.67	2	1	3
2010.08.21.	100.0	1	0	1
2010.08.23.	50.0	1	1	2
2010.08.24.	50.0	1	1	2
2010.08.25.	50.0	1	1	2
2010.08.26.	0.0	0	1	1
2010.08.27.	66.67	2	1	3
2010.08.28.	0.0	0	1	1
2010.08.29.	100.0	2	0	2
2010.08.30.	50.0	2	2	4
2010.08.31.	50.0	1	1	2
2010.09.01.	50.0	1	1	2
2010.09.02.	50.0	1	1	2
2010.09.05.	50.0	1	1	2
2010.09.06.	66.67	6	3	9
2010.09.07.	50.0	1	1	2
2010.09.08.	80.0	4	1	5
2010.09.09.	0.0	0	0	0
2010.09.10.	100.0	1	0	1
2010.09.12.	75.0	3	1	4
2010.09.13.	33.33	1	2	3
2010.09.14.	100.0	1	0	1
2010.09.15.	50.0	3	3	6
2010.09.16.	0.0	0	0	0
2010.09.17.	83.33	5	1	6
2010.09.19.	0.0	0	1	1
2010.09.20.	40.0	2	3	5
2010.09.21.	0.0	0	0	0
2010.09.22.	100.0	1	0	1
2010.09.23.	100.0	1	0	1
2010.09.27.	100.0	2	0	2
2010.09.28.	100.0	3	0	3
